Description,Acronym,Length,ID,die
"NR_136242.2 Homo sapiens transmembrane protein 167B (TMEM167B), transcript variant 3, non-coding RNA",TMEM167B,2858,NR_136242.2,no
"NR_135748.1 Homo sapiens creatine kinase, mitochondrial 1B (CKMT1B), transcript variant 2, non-coding RNA",CKMT1B,2858,NR_135748.1,no
"NM_001297590.2 Homo sapiens CD3e molecule associated protein (CD3EAP), transcript variant 1, mRNA",CD3EAP,2857,NM_001297590.2,no
"NM_001362753.1 Homo sapiens sorting nexin 10 (SNX10), transcript variant 7, mRNA",SNX10,2857,NM_001362753.1,no
"NR_026921.1 Homo sapiens SUMO interacting motifs containing 1 pseudogene (LOC202181), non-coding RNA",LOC202181,2857,NR_026921.1,no
"NM_000864.4 Homo sapiens 5-hydroxytryptamine receptor 1D (HTR1D), mRNA",HTR1D,2857,NM_000864.4,no
"NR_038381.1 Homo sapiens TSC22D1 antisense RNA 1 (TSC22D1-AS1), long non-coding RNA",TSC22D1-AS1,2857,NR_038381.1,no
"NM_001693.4 Homo sapiens ATPase H+ transporting V1 subunit B2 (ATP6V1B2), mRNA",ATP6V1B2,2856,NM_001693.4,no
"NM_001202425.1 Homo sapiens ZNF559-ZNF177 readthrough (ZNF559-ZNF177), transcript variant 4, mRNA",ZNF559-ZNF177,2856,NM_001202425.1,no
"NM_198722.3 Homo sapiens adhesion molecule with Ig like domain 3 (AMIGO3), mRNA",AMIGO3,2856,NM_198722.3,no
"NM_032233.3 Homo sapiens SET domain containing 3, actin histidine methyltransferase (SETD3), transcript variant 1, mRNA",SETD3,2856,NM_032233.3,no
"NM_212559.3 Homo sapiens XK related X-linked (XKRX), mRNA",XKRX,2856,NM_212559.3,no
"NM_006861.7 Homo sapiens RAB35, member RAS oncogene family (RAB35), transcript variant 1, mRNA",RAB35,2855,NM_006861.7,no
"NM_001093729.2 Homo sapiens coiled-coil domain containing 102B (CCDC102B), transcript variant 1, mRNA",CCDC102B,2855,NM_001093729.2,no
"NM_001256737.1 Homo sapiens ganglioside induced differentiation associated protein 1 like 1 (GDAP1L1), transcript variant 1, mRNA",GDAP1L1,2855,NM_001256737.1,no
"NM_001199799.2 Homo sapiens immunoglobulin like domain containing receptor 1 (ILDR1), transcript variant 1, mRNA",ILDR1,2855,NM_001199799.2,no
"NM_018639.5 Homo sapiens WD repeat and SOCS box containing 2 (WSB2), transcript variant 2, mRNA",WSB2,2855,NM_018639.5,no
"NM_004062.4 Homo sapiens cadherin 16 (CDH16), transcript variant 1, mRNA",CDH16,2855,NM_004062.4,no
"NM_152546.3 Homo sapiens serum response factor binding protein 1 (SRFBP1), mRNA",SRFBP1,2855,NM_152546.3,no
"NM_002695.4 Homo sapiens RNA polymerase II subunit E (POLR2E), transcript variant 1, mRNA",POLR2E,2854,NM_002695.4,no
"NM_004854.5 Homo sapiens carbohydrate sulfotransferase 10 (CHST10), mRNA",CHST10,2854,NM_004854.5,no
"NM_001105659.2 Homo sapiens leucine rich repeats and IQ motif containing 3 (LRRIQ3), transcript variant 1, mRNA",LRRIQ3,2854,NM_001105659.2,no
"NR_158652.1 Homo sapiens translocase of inner mitochondrial membrane 23 homolog B (TIMM23B), transcript variant 7, non-coding RNA",TIMM23B,2853,NR_158652.1,no
"NM_001557.4 Homo sapiens C-X-C motif chemokine receptor 2 (CXCR2), transcript variant 1, mRNA",CXCR2,2853,NM_001557.4,no
"NM_014685.4 Homo sapiens homocysteine inducible ER protein with ubiquitin like domain 1 (HERPUD1), transcript variant 1, mRNA",HERPUD1,2853,NM_014685.4,no
"NR_110223.1 Homo sapiens long intergenic non-protein coding RNA 1790 (LINC01790), long non-coding RNA",LINC01790,2852,NR_110223.1,no
"NM_024789.4 Homo sapiens major facilitator superfamily domain containing 13A (MFSD13A), mRNA",MFSD13A,2852,NM_024789.4,no
"NM_001852.4 Homo sapiens collagen type IX alpha 2 chain (COL9A2), mRNA",COL9A2,2852,NM_001852.4,no
"NM_015368.4 Homo sapiens pannexin 1 (PANX1), mRNA",PANX1,2852,NM_015368.4,no
"NM_001352448.2 Homo sapiens DDB1 and CUL4 associated factor 4 (DCAF4), transcript variant 7, mRNA",DCAF4,2852,NM_001352448.2,no
"NM_003263.4 Homo sapiens toll like receptor 1 (TLR1), mRNA",TLR1,2851,NM_003263.4,no
"NM_001023560.3 Homo sapiens zinc finger and SCAN domain containing 26 (ZSCAN26), transcript variant a, mRNA",ZSCAN26,2850,NM_001023560.3,no
"NM_006588.4 Homo sapiens sulfotransferase family 1C member 4 (SULT1C4), transcript variant 1, mRNA",SULT1C4,2850,NM_006588.4,no
"NM_005204.4 Homo sapiens mitogen-activated protein kinase kinase kinase 8 (MAP3K8), transcript variant 1, mRNA",MAP3K8,2850,NM_005204.4,no
"NR_103831.1 Homo sapiens uncharacterized protein FLJ31356 (FLJ31356), long non-coding RNA",FLJ31356,2850,NR_103831.1,no
"NM_033410.4 Homo sapiens zinc finger protein 764 (ZNF764), transcript variant 1, mRNA",ZNF764,2849,NM_033410.4,no
"NM_020980.5 Homo sapiens aquaporin 9 (AQP9), transcript variant 1, mRNA",AQP9,2849,NM_020980.5,no
"NM_032611.3 Homo sapiens protein tyrosine phosphatase 4A3 (PTP4A3), transcript variant 1, mRNA",PTP4A3,2849,NM_032611.3,no
"NM_032498.3 Homo sapiens Rhox homeobox family member 2 (RHOXF2), mRNA",RHOXF2,2848,NM_032498.3,no
"NM_001136041.3 Homo sapiens histone deacetylase 11 (HDAC11), transcript variant 2, mRNA",HDAC11,2847,NM_001136041.3,no
"NM_001105574.2 Homo sapiens H6 family homeobox 3 (HMX3), mRNA",HMX3,2847,NM_001105574.2,no
"NM_001349712.2 Homo sapiens mitochondrial trans-2-enoyl-CoA reductase (MECR), transcript variant 4, mRNA",MECR,2847,NM_001349712.2,no
"NM_024415.3 Homo sapiens DEAD-box helicase 4 (DDX4), transcript variant 1, mRNA",DDX4,2847,NM_024415.3,no
"NM_001346880.2 Homo sapiens major facilitator superfamily domain containing 2B (MFSD2B), mRNA",MFSD2B,2846,NM_001346880.2,no
"NM_001243786.1 Homo sapiens recombination activating 2 (RAG2), transcript variant 4, mRNA",RAG2,2846,NM_001243786.1,no
"NM_018130.3 Homo sapiens SHQ1, H/ACA ribonucleoprotein assembly factor (SHQ1), mRNA",SHQ1,2846,NM_018130.3,no
"NM_001289121.1 Homo sapiens zinc finger CCHC-type containing 7 (ZCCHC7), transcript variant 1, mRNA",ZCCHC7,2846,NM_001289121.1,no
"NM_002196.3 Homo sapiens INSM transcriptional repressor 1 (INSM1), mRNA",INSM1,2846,NM_002196.3,no
"NM_133480.2 Homo sapiens transcriptional adaptor 3 (TADA3), transcript variant 2, mRNA",TADA3,2846,NM_133480.2,no
"NM_206953.2 Homo sapiens preferentially expressed antigen in melanoma (PRAME), transcript variant 2, mRNA",PRAME,2845,NM_206953.2,no
"NR_102265.2 Homo sapiens long intergenic non-protein coding RNA 2067 (LINC02067), long non-coding RNA",LINC02067,2845,NR_102265.2,no
"NR_024007.1 Homo sapiens Smith-Magenis syndrome chromosome region, candidate 5 (SMCR5), long non-coding RNA",SMCR5,2844,NR_024007.1,no
"NM_015462.5 Homo sapiens nucleolar protein 11 (NOL11), transcript variant 1, mRNA",NOL11,2844,NM_015462.5,no
"NM_001323935.1 Homo sapiens synaptosome associated protein 47 (SNAP47), transcript variant 7, mRNA",SNAP47,2844,NM_001323935.1,no
"NM_006418.5 Homo sapiens olfactomedin 4 (OLFM4), mRNA",OLFM4,2843,NM_006418.5,no
"NM_201631.4 Homo sapiens transglutaminase 5 (TGM5), transcript variant 1, mRNA",TGM5,2843,NM_201631.4,no
"NM_175053.4 Homo sapiens keratin 74 (KRT74), mRNA",KRT74,2843,NM_175053.4,no
"NR_003928.2 Homo sapiens chitinase, acidic pseudogene 2 (CHIAP2), non-coding RNA",CHIAP2,2843,NR_003928.2,no
"NM_207336.3 Homo sapiens zinc finger protein 467 (ZNF467), transcript variant 1, mRNA",ZNF467,2843,NM_207336.3,no
"NM_017768.5 Homo sapiens leucine rich repeat containing 40 (LRRC40), mRNA",LRRC40,2843,NM_017768.5,no
"NM_021826.5 Homo sapiens FAST kinase domains 5 (FASTKD5), mRNA",FASTKD5,2842,NM_021826.5,no
"NR_132438.1 Homo sapiens long intergenic non-protein coding RNA 1981 (LINC01981), long non-coding RNA",LINC01981,2842,NR_132438.1,no
"NR_024473.1 Homo sapiens long intergenic non-protein coding RNA 2209 (LINC02209), long non-coding RNA",LINC02209,2842,NR_024473.1,no
"NM_001011658.4 Homo sapiens trafficking protein particle complex 2 (TRAPPC2), transcript variant 1, mRNA",TRAPPC2,2842,NM_001011658.4,no
"NR_125885.1 Homo sapiens uncharacterized LOC101927359 (LOC101927359), long non-coding RNA",LOC101927359,2841,NR_125885.1,no
"NM_001135649.3 Homo sapiens forkhead box I3 (FOXI3), mRNA",FOXI3,2841,NM_001135649.3,no
"NM_001199297.2 Homo sapiens ubiquitin interaction motif containing 1 (UIMC1), transcript variant 1, mRNA",UIMC1,2840,NM_001199297.2,no
"NM_001320252.2 Homo sapiens golgin, RAB6 interacting (GORAB), transcript variant 4, mRNA",GORAB,2840,NM_001320252.2,no
"NM_001142883.1 Homo sapiens inositol hexakisphosphate kinase 3 (IP6K3), transcript variant 2, mRNA",IP6K3,2840,NM_001142883.1,no
"NM_001010892.3 Homo sapiens radial spoke head component 4A (RSPH4A), transcript variant 1, mRNA",RSPH4A,2840,NM_001010892.3,no
"NM_006195.6 Homo sapiens PBX homeobox 3 (PBX3), transcript variant 1, mRNA",PBX3,2840,NM_006195.6,no
"NM_001145862.2 Homo sapiens myotubularin related protein 11 (MTMR11), transcript variant 1, mRNA",MTMR11,2840,NM_001145862.2,no
"NR_027434.2 Homo sapiens uncharacterized LOC100131532 (LOC100131532), long non-coding RNA",LOC100131532,2839,NR_027434.2,no
"NR_135095.1 Homo sapiens acetoacetyl-CoA synthetase pseudogene 1 (AACSP1), transcript variant 1, non-coding RNA",AACSP1,2839,NR_135095.1,no
"NM_139179.4 Homo sapiens diacylglycerol lipase beta (DAGLB), transcript variant 1, mRNA",DAGLB,2839,NM_139179.4,no
"NM_031936.5 Homo sapiens G protein-coupled receptor 61 (GPR61), mRNA",GPR61,2838,NM_031936.5,no
"NR_125909.1 Homo sapiens uncharacterized LOC101928978 (LOC101928978), long non-coding RNA",LOC101928978,2838,NR_125909.1,no
"NR_045721.2 Homo sapiens mannosidase alpha class 1B member 1 (MAN1B1), transcript variant 3, non-coding RNA",MAN1B1,2838,NR_045721.2,no
"NM_001145463.2 Homo sapiens Yip1 interacting factor homolog B, membrane trafficking protein (YIF1B), transcript variant 7, mRNA",YIF1B,2837,NM_001145463.2,no
"NR_144552.1 Homo sapiens nitric oxide synthase 2 pseudogene 3 (NOS2P3), non-coding RNA",NOS2P3,2836,NR_144552.1,no
"NM_001195576.1 Homo sapiens TRPC5 opposite strand (TRPC5OS), transcript variant 1, mRNA",TRPC5OS,2835,NM_001195576.1,no
"NM_020892.2 Homo sapiens deltex E3 ubiquitin ligase 2 (DTX2), transcript variant 1, mRNA",DTX2,2835,NM_020892.2,no
"NR_027262.1 Homo sapiens HEXA antisense RNA 1 (HEXA-AS1), long non-coding RNA",HEXA-AS1,2835,NR_027262.1,no
"NM_001165937.1 Homo sapiens StAR related lipid transfer domain containing 3 (STARD3), transcript variant 2, mRNA",STARD3,2834,NM_001165937.1,no
"NM_012257.4 Homo sapiens HMG-box transcription factor 1 (HBP1), transcript variant 2, mRNA",HBP1,2834,NM_012257.4,no
"NM_003921.5 Homo sapiens BCL10 immune signaling adaptor (BCL10), transcript variant 1, mRNA",BCL10,2833,NM_003921.5,no
"NM_000431.4 Homo sapiens mevalonate kinase (MVK), transcript variant 1, mRNA",MVK,2833,NM_000431.4,no
"NR_165293.1 Homo sapiens Bardet-Biedl syndrome 2 (BBS2), transcript variant 3, non-coding RNA",BBS2,2832,NR_165293.1,no
"NR_027932.1 Homo sapiens chronic lymphocytic leukemia up-regulated 1 (CLLU1), transcript variant 2, long non-coding RNA",CLLU1,2831,NR_027932.1,no
"NR_028484.3 Homo sapiens ADORA2A antisense RNA 1 (ADORA2A-AS1), transcript variant 1, long non-coding RNA",ADORA2A-AS1,2831,NR_028484.3,no
"NM_003146.3 Homo sapiens structure specific recognition protein 1 (SSRP1), mRNA",SSRP1,2831,NM_003146.3,no
"NM_014230.4 Homo sapiens signal recognition particle 68 (SRP68), transcript variant 1, mRNA",SRP68,2831,NM_014230.4,no
"NM_024313.3 Homo sapiens nucleolar protein 12 (NOL12), mRNA",NOL12,2830,NM_024313.3,no
"NM_001173128.1 Homo sapiens YTH N6-methyladenosine RNA binding protein 2 (YTHDF2), transcript variant 2, mRNA",YTHDF2,2830,NM_001173128.1,no
"NR_120430.1 Homo sapiens uncharacterized LOC101928100 (LOC101928100), long non-coding RNA",LOC101928100,2830,NR_120430.1,no
"NR_038985.1 Homo sapiens long intergenic non-protein coding RNA 856 (LINC00856), long non-coding RNA",LINC00856,2830,NR_038985.1,no
"NM_005736.4 Homo sapiens actin related protein 1A (ACTR1A), mRNA",ACTR1A,2830,NM_005736.4,no
"NR_044994.1 Homo sapiens CTAGE family member 7, pseudogene (CTAGE7P), non-coding RNA",CTAGE7P,2830,NR_044994.1,yes
"NR_144356.1 Homo sapiens peptidylprolyl isomerase E like pseudogene (PPIEL), transcript variant 4, non-coding RNA",PPIEL,2830,NR_144356.1,no
"NR_164128.1 Homo sapiens CCDC144A N-terminal pseudogene (CCDC144NL), non-coding RNA",CCDC144NL,2829,NR_164128.1,no
"NM_001009894.3 Homo sapiens chromosome 12 open reading frame 29 (C12orf29), mRNA",C12orf29,2829,NM_001009894.3,no
"NM_001083963.1 Homo sapiens tudor and KH domain containing (TDRKH), transcript variant 2, mRNA",TDRKH,2829,NM_001083963.1,no
"NM_001330399.2 Homo sapiens spindle and kinetochore associated complex subunit 2 (SKA2), transcript variant 3, mRNA",SKA2,2829,NM_001330399.2,no
"NR_045566.1 Homo sapiens Bardet-Biedl syndrome 4 (BBS4), transcript variant 4, non-coding RNA",BBS4,2828,NR_045566.1,no
"NM_006474.4 Homo sapiens podoplanin (PDPN), transcript variant 1, mRNA",PDPN,2828,NM_006474.4,no
"NM_001130675.1 Homo sapiens calmegin (CLGN), transcript variant 2, mRNA",CLGN,2828,NM_001130675.1,no
"NM_152833.3 Homo sapiens transmembrane protein 250 (TMEM250), transcript variant 1, mRNA",TMEM250,2827,NM_152833.3,no
"NR_002833.2 Homo sapiens DPY19L2 pseudogene 1 (DPY19L2P1), non-coding RNA",DPY19L2P1,2827,NR_002833.2,no
"NM_022457.7 Homo sapiens COP1 E3 ubiquitin ligase (COP1), transcript variant 1, mRNA",COP1,2826,NM_022457.7,no
"NM_206914.2 Homo sapiens EEF1A lysine methyltransferase 3 (EEF1AKMT3), transcript variant 2, mRNA",EEF1AKMT3,2826,NM_206914.2,no
"NR_160555.1 Homo sapiens uncharacterized LOC105369209 (LOC105369209), long non-coding RNA",LOC105369209,2826,NR_160555.1,no
"NR_135496.2 Homo sapiens leukocyte immunoglobulin like receptor B3 (LILRB3), transcript variant 7, non-coding RNA",LILRB3,2825,NR_135496.2,no
"NR_157051.1 Homo sapiens cyclin G1 (CCNG1), transcript variant 10, non-coding RNA",CCNG1,2825,NR_157051.1,no
"NM_001286373.1 Homo sapiens translocase of outer mitochondrial membrane 40 like (TOMM40L), transcript variant 2, mRNA",TOMM40L,2825,NM_001286373.1,no
"NM_001017958.2 Homo sapiens OS9 endoplasmic reticulum lectin (OS9), transcript variant 4, mRNA",OS9,2824,NM_001017958.2,no
"NM_005707.2 Homo sapiens programmed cell death 7 (PDCD7), mRNA",PDCD7,2823,NM_005707.2,no
"NM_018189.3 Homo sapiens developmental pluripotency associated 4 (DPPA4), transcript variant 1, mRNA",DPPA4,2823,NM_018189.3,no
"NM_019606.6 Homo sapiens methylphosphate capping enzyme (MEPCE), transcript variant 1, mRNA",MEPCE,2822,NM_019606.6,no
"NM_014448.4 Homo sapiens Rho guanine nucleotide exchange factor 16 (ARHGEF16), mRNA",ARHGEF16,2822,NM_014448.4,no
"NM_001367836.1 Homo sapiens tropomyosin 4 (TPM4), transcript variant 3, mRNA",TPM4,2822,NM_001367836.1,no
"NM_201403.2 Homo sapiens MOB kinase activator 3C (MOB3C), transcript variant 2, mRNA",MOB3C,2822,NM_201403.2,no
"NM_006151.3 Homo sapiens lactoperoxidase (LPO), transcript variant 1, mRNA",LPO,2821,NM_006151.3,no
"NM_001365226.1 Homo sapiens ADP dependent glucokinase (ADPGK), transcript variant 5, mRNA",ADPGK,2821,NM_001365226.1,no
"NR_023382.1 Homo sapiens zinc finger protein 815, pseudogene (ZNF815P), non-coding RNA",ZNF815P,2821,NR_023382.1,no
"NM_001084.5 Homo sapiens procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (PLOD3), mRNA",PLOD3,2821,NM_001084.5,no
"NM_212556.3 Homo sapiens ankyrin repeat and SOCS box containing 18 (ASB18), mRNA",ASB18,2821,NM_212556.3,no
"NR_047551.1 Homo sapiens EGFR antisense RNA 1 (EGFR-AS1), long non-coding RNA",EGFR-AS1,2821,NR_047551.1,no
"NM_001127713.1 Homo sapiens atlastin GTPase 1 (ATL1), transcript variant 3, mRNA",ATL1,2821,NM_001127713.1,no
"NM_001282651.2 Homo sapiens solute carrier family 35 member A2 (SLC35A2), transcript variant 8, mRNA",SLC35A2,2820,NM_001282651.2,no
"NM_001258275.3 Homo sapiens sterile alpha motif domain containing 3 (SAMD3), transcript variant 3, mRNA",SAMD3,2820,NM_001258275.3,no
"NM_024047.5 Homo sapiens nudix hydrolase 9 (NUDT9), transcript variant 1, mRNA",NUDT9,2820,NM_024047.5,no
"NM_016270.4 Homo sapiens Kruppel like factor 2 (KLF2), mRNA",KLF2,2820,NM_016270.4,no
"NM_177949.4 Homo sapiens armadillo repeat containing X-linked 2 (ARMCX2), transcript variant 1, mRNA",ARMCX2,2819,NM_177949.4,no
"NM_138346.3 Homo sapiens KIAA2013 (KIAA2013), mRNA",KIAA2013,2819,NM_138346.3,no
"NM_005259.3 Homo sapiens myostatin (MSTN), mRNA",MSTN,2819,NM_005259.3,no
"NR_038135.2 Homo sapiens MGAT4 family member E, pseudogene (MGAT4EP), non-coding RNA",MGAT4EP,2819,NR_038135.2,no
"NM_001171631.1 Homo sapiens nitric oxide synthase trafficking (NOSTRIN), transcript variant 4, mRNA",NOSTRIN,2819,NM_001171631.1,no
"NM_014516.4 Homo sapiens CCR4-NOT transcription complex subunit 3 (CNOT3), mRNA",CNOT3,2818,NM_014516.4,no
"NR_037179.1 Homo sapiens long intergenic non-protein coding RNA 1015 (LINC01015), transcript variant 1, long non-coding RNA",LINC01015,2817,NR_037179.1,no
"NM_152221.3 Homo sapiens casein kinase 1 epsilon (CSNK1E), transcript variant 1, mRNA",CSNK1E,2817,NM_152221.3,no
"NM_178326.3 Homo sapiens autophagy related 4B cysteine peptidase (ATG4B), transcript variant 2, mRNA",ATG4B,2817,NM_178326.3,no
"NM_007183.4 Homo sapiens plakophilin 3 (PKP3), transcript variant 1, mRNA",PKP3,2817,NM_007183.4,no
"NM_021258.4 Homo sapiens interleukin 22 receptor subunit alpha 1 (IL22RA1), mRNA",IL22RA1,2817,NM_021258.4,no
"NM_001348255.2 Homo sapiens small integral membrane protein 10 like 2B (SMIM10L2B), mRNA",SMIM10L2B,2817,NM_001348255.2,no
"NM_005911.6 Homo sapiens methionine adenosyltransferase 2A (MAT2A), mRNA",MAT2A,2817,NM_005911.6,no
"NM_152597.5 Homo sapiens fibrous sheath interacting protein 1 (FSIP1), transcript variant 1, mRNA",FSIP1,2816,NM_152597.5,no
"NM_138440.3 Homo sapiens vasorin (VASN), mRNA",VASN,2816,NM_138440.3,no
"NM_024835.5 Homo sapiens gametogenetin binding protein 2 (GGNBP2), mRNA",GGNBP2,2816,NM_024835.5,no
"NR_146861.2 Homo sapiens chromosome 6 open reading frame 141 (C6orf141), transcript variant 10, non-coding RNA",C6orf141,2816,NR_146861.2,no
"NM_022117.4 Homo sapiens TSPY like 2 (TSPYL2), mRNA",TSPYL2,2815,NM_022117.4,no
"NM_080873.3 Homo sapiens ankyrin repeat and SOCS box containing 11 (ASB11), transcript variant 1, mRNA",ASB11,2815,NM_080873.3,no
"NM_152476.3 Homo sapiens zinc finger protein 560 (ZNF560), transcript variant 1, mRNA",ZNF560,2815,NM_152476.3,no
"NM_001300846.2 Homo sapiens TLE family member 2, transcriptional corepressor (TLE2), transcript variant 4, mRNA",TLE2,2815,NM_001300846.2,no
"NR_027079.2 Homo sapiens long intergenic non-protein coding RNA 1566 (LINC01566), transcript variant 1, long non-coding RNA",LINC01566,2815,NR_027079.2,no
"NM_001131065.1 Homo sapiens Rieske Fe-S domain containing (RFESD), transcript variant 1, mRNA",RFESD,2814,NM_001131065.1,no
"NR_104627.1 Homo sapiens solute carrier family 35 member D2 (SLC35D2), transcript variant 3, non-coding RNA",SLC35D2,2814,NR_104627.1,no
"NM_001350561.2 Homo sapiens tight junction associated protein 1 (TJAP1), transcript variant 8, mRNA",TJAP1,2814,NM_001350561.2,no
"NM_030787.4 Homo sapiens complement factor H related 5 (CFHR5), mRNA",CFHR5,2814,NM_030787.4,no
"NM_001287254.2 Homo sapiens zinc finger protein 596 (ZNF596), transcript variant 4, mRNA",ZNF596,2814,NM_001287254.2,no
"NM_001304435.1 Homo sapiens LIM domain binding 2 (LDB2), transcript variant 4, mRNA",LDB2,2813,NM_001304435.1,no
"NM_001933.5 Homo sapiens dihydrolipoamide S-succinyltransferase (DLST), transcript variant 1, mRNA",DLST,2813,NM_001933.5,yes
"NR_038235.2 Homo sapiens long intergenic non-protein coding RNA 1606 (LINC01606), long non-coding RNA",LINC01606,2813,NR_038235.2,no
"NM_174899.5 Homo sapiens F-box protein 36 (FBXO36), mRNA",FBXO36,2813,NM_174899.5,no
"NM_001286748.2 Homo sapiens mitochondrial ribosomal protein S27 (MRPS27), transcript variant 1, mRNA",MRPS27,2812,NM_001286748.2,no
"NM_001349382.1 Homo sapiens solute carrier family 38 member 9 (SLC38A9), transcript variant 6, mRNA",SLC38A9,2812,NM_001349382.1,no
"NM_001253837.2 Homo sapiens polycystin 2 like 1, transient receptor potential cation channel (PKD2L1), transcript variant 2, mRNA",PKD2L1,2812,NM_001253837.2,no
"NM_001326.3 Homo sapiens cleavage stimulation factor subunit 3 (CSTF3), transcript variant 1, mRNA",CSTF3,2812,NM_001326.3,no
"NR_003244.2 Homo sapiens highly accelerated region 1A (HAR1A), long non-coding RNA",HAR1A,2812,NR_003244.2,no
"NM_001353549.2 Homo sapiens zinc finger protein 44 (ZNF44), transcript variant 3, mRNA",ZNF44,2811,NM_001353549.2,no
"NM_173502.5 Homo sapiens serine protease 36 (PRSS36), transcript variant 1, mRNA",PRSS36,2811,NM_173502.5,no
"NR_110267.1 Homo sapiens long intergenic non-protein coding RNA 1923 (LINC01923), long non-coding RNA",LINC01923,2811,NR_110267.1,no
"NM_001170543.2 Homo sapiens PGAM family member 5, mitochondrial serine/threonine protein phosphatase (PGAM5), transcript variant 1, mRNA",PGAM5,2811,NM_001170543.2,no
"NM_016444.2 Homo sapiens zinc finger protein 226 (ZNF226), transcript variant 10, mRNA",ZNF226,2810,NM_016444.2,no
"NM_018298.11 Homo sapiens mucolipin 3 (MCOLN3), transcript variant 1, mRNA",MCOLN3,2810,NM_018298.11,no
"NR_125929.1 Homo sapiens CYP2U1 and SGMS2 antisense RNA 1 (CYP2U1-AS1), long non-coding RNA",CYP2U1-AS1,2810,NR_125929.1,no
"NR_029193.1 Homo sapiens SH3RF3 antisense RNA 1 (SH3RF3-AS1), long non-coding RNA",SH3RF3-AS1,2810,NR_029193.1,no
"NM_024859.3 Homo sapiens MAGI family member, X-linked (MAGIX), transcript variant 1, mRNA",MAGIX,2810,NM_024859.3,no
"NM_002607.5 Homo sapiens platelet derived growth factor subunit A (PDGFA), transcript variant 1, mRNA",PDGFA,2809,NM_002607.5,no
"NM_001367361.2 Homo sapiens germ cell associated 1 (GSG1), transcript variant 11, mRNA",GSG1,2809,NM_001367361.2,no
"NR_040034.1 Homo sapiens uncharacterized LOC339298 (LOC339298), long non-coding RNA",LOC339298,2809,NR_040034.1,no
"NR_146773.1 Homo sapiens papillary thyroid carcinoma susceptibility candidate 1 (PTCSC1), long non-coding RNA",PTCSC1,2809,NR_146773.1,no
"NR_104198.2 Homo sapiens interleukin 17 receptor E (IL17RE), transcript variant 4, non-coding RNA",IL17RE,2809,NR_104198.2,no
"NM_001347869.2 Homo sapiens zinc finger protein 174 (ZNF174), transcript variant 4, mRNA",ZNF174,2808,NM_001347869.2,no
"NM_001287189.2 Homo sapiens ornithine decarboxylase 1 (ODC1), transcript variant 3, mRNA",ODC1,2808,NM_001287189.2,no
"NM_001199039.2 Homo sapiens serine incorporator 2 (SERINC2), transcript variant 5, mRNA",SERINC2,2808,NM_001199039.2,no
"NM_001252226.1 Homo sapiens polo like kinase 2 (PLK2), transcript variant 2, mRNA",PLK2,2808,NM_001252226.1,no
"NM_000795.4 Homo sapiens dopamine receptor D2 (DRD2), transcript variant 1, mRNA",DRD2,2808,NM_000795.4,no
"NM_012256.4 Homo sapiens zinc finger protein 212 (ZNF212), mRNA",ZNF212,2807,NM_012256.4,no
"NM_001258373.1 Homo sapiens spermatogenesis associated 20 (SPATA20), transcript variant 3, mRNA",SPATA20,2807,NM_001258373.1,no
"NM_001254738.1 Homo sapiens Rho family GTPase 3 (RND3), transcript variant 1, mRNA",RND3,2807,NM_001254738.1,no
"NM_000889.3 Homo sapiens integrin subunit beta 7 (ITGB7), transcript variant 1, mRNA",ITGB7,2806,NM_000889.3,no
"NM_005015.5 Homo sapiens OXA1L mitochondrial inner membrane protein (OXA1L), mRNA",OXA1L,2806,NM_005015.5,no
"NM_001004329.3 Homo sapiens developing brain homeobox 2 (DBX2), mRNA",DBX2,2806,NM_001004329.3,no
"NM_080605.4 Homo sapiens beta-1,3-galactosyltransferase 6 (B3GALT6), mRNA",B3GALT6,2805,NM_080605.4,no
"NM_001282733.1 Homo sapiens solute carrier family 39 member 12 (SLC39A12), transcript variant 3, mRNA",SLC39A12,2805,NM_001282733.1,no
"NM_080652.4 Homo sapiens transmembrane protein 41A (TMEM41A), mRNA",TMEM41A,2805,NM_080652.4,no
"NM_001080521.3 Homo sapiens Ras association domain family member 10 (RASSF10), mRNA",RASSF10,2804,NM_001080521.3,no
"NM_001321015.2 Homo sapiens glycine amidinotransferase (GATM), transcript variant 2, mRNA",GATM,2804,NM_001321015.2,no
"NM_020661.4 Homo sapiens activation induced cytidine deaminase (AICDA), transcript variant 1, mRNA",AICDA,2803,NM_020661.4,no
"NM_001127266.2 Homo sapiens transmembrane protein 129 (TMEM129), transcript variant 1, mRNA",TMEM129,2803,NM_001127266.2,no
"NM_194463.2 Homo sapiens ring finger protein 128 (RNF128), transcript variant 1, mRNA",RNF128,2803,NM_194463.2,no
"NM_145119.4 Homo sapiens praja ring finger ubiquitin ligase 1 (PJA1), transcript variant 1, mRNA",PJA1,2803,NM_145119.4,no
"NM_001199053.2 Homo sapiens RNA exonuclease 5 (REXO5), transcript variant 3, mRNA",REXO5,2803,NM_001199053.2,no
"NM_014476.6 Homo sapiens PDZ and LIM domain 3 (PDLIM3), transcript variant 1, mRNA",PDLIM3,2802,NM_014476.6,no
"NR_125921.1 Homo sapiens long intergenic non-protein coding RNA 2261 (LINC02261), long non-coding RNA",LINC02261,2802,NR_125921.1,no
"NM_001195736.3 Homo sapiens peroxiredoxin like 2B (PRXL2B), transcript variant 1, mRNA",PRXL2B,2801,NM_001195736.3,no
