Supplementary Table 3: Information of Sequences Used to Test the Model's Ability to Generalize,,,,,,,,
,ID,Organism Name,MolTyp,Topology,Description,Genome Type,Length,Family
12977,NM_183321.1,,,,"NM_183321.1 Mus musculus proline and serine rich 3 (Proser3), mRNA",,,
12978,NM_183389.2,,,,"NM_183389.2 Mus musculus double homeobox B-like 1 (Duxbl1), mRNA",,,
12979,NM_183390.3,,,,"NM_183390.3 Mus musculus kelch-like 6 (Klhl6), mRNA",,,
12980,NM_183424.4,,,,"NM_183424.4 Mus musculus pyroglutamylated RFamide peptide (Qrfp), mRNA",,,
12981,NM_184088.1,,,,"NM_184088.1 Mus musculus DENN/MADD domain containing 4C (Dennd4c), mRNA",,,
12982,NM_184109.2,,,,"NM_184109.2 Mus musculus retrotransposon Gaglike 1 (Rtl1), mRNA",,,
12983,NM_194060.1,,,,"NM_194060.1 Mus musculus forkhead box O6 (Foxo6), mRNA",,,
12984,NM_194061.3,,,,"NM_194061.3 Mus musculus RIKEN cDNA D630045J12 gene (D630045J12Rik), mRNA",,,
12985,NM_194262.2,,,,"NM_194262.2 Mus musculus AT rich interactive domain 4B (RBP1-like) (Arid4b), transcript variant 1, mRNA",,,
12986,NM_194263.2,,,,"NM_194263.2 Mus musculus T-box 20 (Tbx20), transcript variant 1, mRNA",,,
12987,NM_194335.2,,,,"NM_194335.2 Mus musculus nuclear apoptosis inducing factor 1 (Naif1), mRNA",,,
12988,NM_194336.2,,,,"NM_194336.2 Mus musculus guanylate binding protein 6 (Gbp6), mRNA",,,
12989,NM_194339.1,,,,"NM_194339.1 Mus musculus BMS1, ribosome biogenesis factor (Bms1), mRNA",,,
12990,NM_194340.2,,,,"NM_194340.2 Mus musculus proline rich 14-like (Prr14l), mRNA",,,
12991,NM_194341.2,,,,"NM_194341.2 Mus musculus synergin, gamma (Synrg), mRNA",,,
12992,NM_194346.3,,,,"NM_194346.3 Mus musculus ring finger protein 31 (Rnf31), mRNA",,,
12993,NM_194348.3,,,,"NM_194348.3 Mus musculus autophagy related 2A (Atg2a), mRNA",,,
12994,NM_194462.2,,,,"NM_194462.2 Mus musculus A kinase (PRKA) anchor protein (yotiao) 9 (Akap9), mRNA",,,
12995,NM_197943.2,,,,"NM_197943.2 Mus musculus small G protein signaling modulator 2 (Sgsm2), mRNA",,,
12996,NM_197959.2,,,,"NM_197959.2 Mus musculus kinesin family member 18B (Kif18b), mRNA",,,
12997,NM_197990.3,,,,"NM_197990.3 Mus musculus RIKEN cDNA 1700025G04 gene (1700025G04Rik), mRNA",,,
12998,NM_197993.3,,,,"NM_197993.3 Mus musculus terminal uridylyl transferase 1, U6 snRNA-specific (Tut1), mRNA",,,
12999,NM_197995.2,,,,"NM_197995.2 Mus musculus ADP-ribosylation factor-like 16 (Arl16), mRNA",,,
13000,NM_197996.2,,,,"NM_197996.2 Mus musculus tetraspanin 15 (Tspan15), mRNA",,,
13001,NM_197999.2,,,,"NM_197999.2 Mus musculus carboxylesterase 2G (Ces2g), mRNA",,,
13002,NM_198006.4,,,,"NM_198006.4 Mus musculus cytochrome C oxidase assembly factor 5 (Coa5), mRNA",,,
13003,NM_198007.2,,,,"NM_198007.2 Mus musculus activating signal cointegrator 1 complex subunit 3 (Ascc3), mRNA",,,
13004,NM_198011.2,,,,"NM_198011.2 Mus musculus RIKEN cDNA E430018J23 gene (E430018J23Rik), mRNA",,,
13005,NM_198017.3,,,,"NM_198017.3 Mus musculus BRISC complex subunit (Abraxas2), mRNA",,,
13006,NM_198019.2,,,,"NM_198019.2 Mus musculus centrosomal protein 78 (Cep78), mRNA",,,
13007,NM_198022.2,,,,"NM_198022.2 Mus musculus trinucleotide repeat containing 6C (Tnrc6c), mRNA",,,
13008,NM_198023.3,,,,"NM_198023.3 Mus musculus REST corepressor 1 (Rcor1), mRNA",,,
13009,NM_198024.2,,,,"NM_198024.2 Mus musculus RAN binding protein 3-like (Ranbp3l), mRNA",,,
13010,NM_198026.2,,,,"NM_198026.2 Mus musculus IQ motif containing C (Iqcc), mRNA",,,
13011,NM_198029.2,,,,"NM_198029.2 Mus musculus fermitin family member 1 (Fermt1), mRNA",,,
13012,NM_198033.2,,,,"NM_198033.2 Mus musculus senataxin (Setx), mRNA",,,
13013,NM_198035.2,,,,"NM_198035.2 Mus musculus zinc finger and BTB domain containing 39 (Zbtb39), mRNA",,,
13014,NM_198037.1,,,,"NM_198037.1 Mus musculus cache domain containing 1 (Cachd1), mRNA",,,
13015,NM_198100.2,,,,"NM_198100.2 Mus musculus TBK1 binding protein 1 (Tbkbp1), mRNA",,,
13016,NM_198101.1,,,,"NM_198101.1 Mus musculus Gem-interacting protein (Gmip), mRNA",,,
13017,NM_198103.2,,,,"NM_198103.2 Mus musculus exocyst complex component 8 (Exoc8), mRNA",,,
13018,NM_198111.2,,,,"NM_198111.2 Mus musculus A kinase (PRKA) anchor protein 6 (Akap6), mRNA",,,
13019,NM_198117.2,,,,"NM_198117.2 Mus musculus protocadherin alpha 2 (Pcdha2), mRNA",,,
13020,NM_198163.1,,,,"NM_198163.1 Mus musculus RAB35, member RAS oncogene family (Rab35), mRNA",,,
13021,NM_198167.3,,,,"NM_198167.3 Mus musculus transmembrane protein 63b (Tmem63b), mRNA",,,
13022,NM_198169.2,,,,"NM_198169.2 Mus musculus glucocorticoid modulatory element binding protein 2 (Gmeb2), mRNA",,,
13023,NM_198170.4,,,,"NM_198170.4 Mus musculus SZT2 subunit of KICSTOR complex (Szt2), mRNA",,,
13024,NM_198171.3,,,,"NM_198171.3 Mus musculus carboxyesterase 2B (Ces2b), mRNA",,,
13025,NM_198190.1,,,,"NM_198190.1 Mus musculus neurotrophin 5 (Ntf5), mRNA",,,
13026,NM_198248.1,,,,"NM_198248.1 Mus musculus zinc finger and BTB domain containing 40 (Zbtb40), mRNA",,,
13027,NM_198250.1,,,,"NM_198250.1 Mus musculus leucine rich repeat containing 4B (Lrrc4b), mRNA",,,
13028,NM_198292.3,,,,"NM_198292.3 Mus musculus testis expressed gene 2 (Tex2), mRNA",,,
13029,NM_198295.2,,,,"NM_198295.2 Mus musculus thioredoxin-related transmembrane protein 3 (Tmx3), mRNA",,,
13030,NM_198296.2,,,,"NM_198296.2 Mus musculus armadillo-like helical domain containing 3 (Armh3), mRNA",,,
13031,NM_198297.4,,,,"NM_198297.4 Mus musculus T cell receptor associated transmembrane adaptor 1 (Trat1), mRNA",,,
13032,NM_198302.2,,,,"NM_198302.2 Mus musculus RNA binding motif protein 11 (Rbm11), mRNA",,,
13033,NM_198303.2,,,,"NM_198303.2 Mus musculus eukaryotic translation initiation factor 5B (Eif5b), mRNA",,,
13034,NM_198304.3,,,,"NM_198304.3 Mus musculus nucleoporin 188 (Nup188), transcript variant 1, mRNA",,,
13035,NM_198305.2,,,,"NM_198305.2 Mus musculus kelch-like 17 (Klhl17), mRNA",,,
13036,NM_198306.3,,,,"NM_198306.3 Mus musculus polypeptide N-acetylgalactosaminyltransferase 9 (Galnt9), transcript variant A, mRNA",,,
13037,NM_198308.1,,,,"NM_198308.1 Mus musculus pyruvate dehydrogenase phosphatase regulatory subunit (Pdpr), mRNA",,,
13038,NM_198322.3,,,,"NM_198322.3 Mus musculus zinc finger protein 273 (Zfp273), mRNA",,,
13039,NM_198411.2,,,,"NM_198411.2 Mus musculus inverted formin, FH2 and WH2 domain containing (Inf2), mRNA",,,
13040,NM_198414.2,,,,"NM_198414.2 Mus musculus progestin and adipoQ receptor family member IX (Paqr9), mRNA",,,
13041,NM_198421.2,,,,"NM_198421.2 Mus musculus ubiquitin specific peptidase 49 (Usp49), mRNA",,,
13042,NM_198599.2,,,,"NM_198599.2 Mus musculus MAP6 domain containing 1 (Map6d1), mRNA",,,
13043,NM_198601.3,,,,"NM_198601.3 Mus musculus tripartite motif-containing 52 (Trim52), transcript variant 1, mRNA",,,
13044,NM_198605.3,,,,"NM_198605.3 Mus musculus spindle and kinetochore associated complex subunit 3 (Ska3), mRNA",,,
13045,NM_198615.2,,,,"NM_198615.2 Mus musculus mex3 RNA binding family member D (Mex3d), mRNA",,,
13046,NM_198617.2,,,,"NM_198617.2 Mus musculus TSPY-like 3 (Tspyl3), mRNA",,,
13047,NM_198623.2,,,,"NM_198623.2 Mus musculus ubiquilin 3 (Ubqln3), mRNA",,,
13048,NM_198624.3,,,,"NM_198624.3 Mus musculus ubiquilin-like (Ubqlnl), mRNA",,,
13049,NM_198626.2,,,,"NM_198626.2 Mus musculus xyloside xylosyltransferase 1 (Xxylt1), mRNA",,,
13050,NM_198628.2,,,,"NM_198628.2 Mus musculus serine/threonine kinase-like domain containing 1 (Stkld1), mRNA",,,
13051,NM_198631.2,,,,"NM_198631.2 Mus musculus zinc finger CCCH-type containing 4 (Zc3h4), mRNA",,,
13052,NM_198632.2,,,,"NM_198632.2 Mus musculus tripartite motif-containing 67 (Trim67), mRNA",,,
13053,NM_198635.3,,,,"NM_198635.3 Mus musculus predicted gene 5134 (Gm5134), mRNA",,,
13054,NM_198642.2,,,,"NM_198642.2 Mus musculus RUN and cysteine rich domain containing beclin 1 interacting protein like (Rubcnl), mRNA",,,
13055,NM_198651.2,,,,"NM_198651.2 Mus musculus RIKEN cDNA 4430402I18 gene (4430402I18Rik), mRNA",,,
13056,NM_198652.2,,,,"NM_198652.2 Mus musculus Holliday junction recognition protein (Hjurp), mRNA",,,
13057,NM_198653.3,,,,"NM_198653.3 Mus musculus isoleucine-tRNA synthetase 2, mitochondrial (Iars2), mRNA",,,
13058,NM_198654.3,,,,"NM_198654.3 Mus musculus NSL1, MIS12 kinetochore complex component (Nsl1), mRNA",,,
13059,NM_198655.2,,,,"NM_198655.2 Mus musculus RIKEN cDNA 4921509C19 gene (4921509C19Rik), mRNA",,,
13060,NM_198659.2,,,,"NM_198659.2 Mus musculus sperm tail PG rich repeat containing 2 (Stpg2), mRNA",,,
13061,NM_198660.2,,,,"NM_198660.2 Mus musculus coiled-coil domain containing 180 (Ccdc180), mRNA",,,
13062,NM_198668.2,,,,"NM_198668.2 Mus musculus RIKEN cDNA 4930590J08 gene (4930590J08Rik), mRNA",,,
13063,NM_198672.1,,,,"NM_198672.1 Mus musculus carboxylesterase 3A (Ces3a), transcript variant 1, mRNA",,,
13064,NM_198831.3,,,,"NM_198831.3 Mus musculus mitochondrial ribosomal protein L48 (Mrpl48), transcript variant 1, mRNA",,,
13065,NM_198860.2,,,,"NM_198860.2 Mus musculus leucine rich repeat containing 75B (Lrrc75b), mRNA",,,
13066,NM_198861.1,,,,"NM_198861.1 Mus musculus leucine rich repeat containing 75A (Lrrc75a), transcript variant 1, mRNA",,,
13067,NM_198866.2,,,,"NM_198866.2 Mus musculus DNA binding protein with his-thr domain (Dbpht2), mRNA",,,
13068,NM_198899.2,,,,"NM_198899.2 Mus musculus UDP-glucose glycoprotein glucosyltransferase 1 (Uggt1), mRNA",,,
13069,NM_198927.3,,,,"NM_198927.3 Mus musculus submandibular gland protein C (Smgc), mRNA",,,
13070,NM_198937.2,,,,"NM_198937.2 Mus musculus Jupiter microtubule associated homolog 2 (Jpt2), mRNA",,,
13071,NM_198962.4,,,,"NM_198962.4 Mus musculus hypocretin (orexin) receptor 2 (Hcrtr2), transcript variant 1, mRNA",,,
13072,NM_199008.2,,,,"NM_199008.2 Mus musculus cytochrome c oxidase assembly protein 11, copper chaperone (Cox11), mRNA",,,
13073,NM_199015.4,,,,"NM_199015.4 Mus musculus PHD finger protein 11D (Phf11d), mRNA",,,
13074,NM_199018.2,,,,"NM_199018.2 Mus musculus START domain containing 8 (Stard8), mRNA",,,
13075,NM_199021.3,,,,"NM_199021.3 Mus musculus dipeptidylpeptidase 10 (Dpp10), mRNA",,,
13076,NM_199022.2,,,,"NM_199022.2 Mus musculus SHC (Src homology 2 domain containing) family, member 4 (Shc4), mRNA",,,
13077,NM_199025.3,,,,"NM_199025.3 Mus musculus zinc finger and BTB domain containing 26 (Zbtb26), mRNA",,,
13078,NM_199027.2,,,,"NM_199027.2 Mus musculus zinc finger protein 335 (Zfp335), mRNA",,,
13079,NM_199029.2,,,,"NM_199029.2 Mus musculus zinc finger protein 395 (Zfp395), mRNA",,,
13080,NM_199032.3,,,,"NM_199032.3 Mus musculus centrosomal protein 135 (Cep135), mRNA",,,
13081,NM_199035.2,,,,"NM_199035.2 Mus musculus asparagine-linked glycosylation 8 (alpha-1,3-glucosyltransferase) (Alg8), mRNA",,,
13082,NM_199068.2,,,,"NM_199068.2 Mus musculus forkhead box K1 (Foxk1), mRNA",,,
13083,NM_199143.2,,,,"NM_199143.2 Mus musculus zinc and ring finger 2 (Znrf2), mRNA",,,
13084,NM_199198.2,,,,"NM_199198.2 Mus musculus histone deacetylase 10 (Hdac10), transcript variant 1, mRNA",,,
13085,NM_199252.2,,,,"NM_199252.2 Mus musculus unc-93 homolog A (Unc93a), mRNA",,,
13086,NM_199257.2,,,,"NM_199257.2 Mus musculus transmembrane phosphatase with tensin homology (Tpte), mRNA",,,
13087,NM_199302.2,,,,"NM_199302.2 Mus musculus leucine rich repeat and sterile alpha motif containing 1 (Lrsam1), mRNA",,,
13088,NM_199304.1,,,,"NM_199304.1 Mus musculus zinc finger protein 341 (Zfp341), mRNA",,,
13089,NM_199306.4,,,,"NM_199306.4 Mus musculus WD and tetratricopeptide repeats 1 (Wdtc1), mRNA",,,
13090,NM_199308.2,,,,"NM_199308.2 Mus musculus microtubule associated serine/threonine kinase 3 (Mast3), mRNA",,,
13091,NM_199316.2,,,,"NM_199316.2 Mus musculus centrosomal protein 162 (Cep162), mRNA",,,
13092,NM_199322.2,,,,"NM_199322.2 Mus musculus DOT1-like, histone H3 methyltransferase (S. cerevisiae) (Dot1l), mRNA",,,
13093,NM_199366.4,,,,"NM_199366.4 Mus musculus galactose-3-O-sulfotransferase 2 (Gal3st2), mRNA",,,
13094,NM_199447.2,,,,"NM_199447.2 Mus musculus ribosomal RNA processing 12 homolog (S. cerevisiae) (Rrp12), mRNA",,,
13095,NM_199449.2,,,,"NM_199449.2 Mus musculus zinc fingers and homeoboxes 2 (Zhx2), mRNA",,,
13096,NM_199467.3,,,,"NM_199467.3 Mus musculus MMS22-like, DNA repair protein (Mms22l), transcript variant 1, mRNA",,,
13097,NM_199468.2,,,,"NM_199468.2 Mus musculus retrotransposon Gag like 3 (Rtl3), mRNA",,,
13098,NM_199470.2,,,,"NM_199470.2 Mus musculus cadherin-like 24 (Cdh24), mRNA",,,
13099,NM_201226.1,,,,"NM_201226.1 Mus musculus leucine rich repeat containing 47 (Lrrc47), mRNA",,,
13100,NM_201243.1,,,,"NM_201243.1 Mus musculus protocadherin alpha 8 (Pcdha8), mRNA",,,
13101,NM_201255.2,,,,"NM_201255.2 Mus musculus keratin 9 (Krt9), mRNA",,,
13102,NM_201354.2,,,,"NM_201354.2 Mus musculus CBP80/20-dependent translation initiation factor (Ctif), mRNA",,,
13103,NM_201367.3,,,,"NM_201367.3 Mus musculus G protein-coupled receptor 176 (Gpr176), mRNA",,,
13104,NM_201368.1,,,,"NM_201368.1 Mus musculus X-linked Kx blood group related 8 (Xkr8), mRNA",,,
13105,NM_201370.2,,,,"NM_201370.2 Mus musculus WEE1 homolog 2 (S. pombe) (Wee2), mRNA",,,
13106,NM_201371.2,,,,"NM_201371.2 Mus musculus protein arginine N-methyltransferase 8 (Prmt8), transcript variant 1, mRNA",,,
13107,NM_201373.4,,,,"NM_201373.4 Mus musculus tripartite motif-containing 56 (Trim56), mRNA",,,
13108,NM_201374.2,,,,"NM_201374.2 Mus musculus coiled-coil domain containing 155 (Ccdc155), mRNA",,,
13109,NM_201375.2,,,,"NM_201375.2 Mus musculus kininogen 2 (Kng2), transcript variant 1, mRNA",,,
13110,NM_201411.2,,,,"NM_201411.2 Mus musculus fibronectin leucine rich transmembrane protein 1 (Flrt1), mRNA",,,
13111,NM_201518.4,,,,"NM_201518.4 Mus musculus fibronectin leucine rich transmembrane protein 2 (Flrt2), mRNA",,,
13112,NM_201519.2,,,,"NM_201519.2 Mus musculus mitogen-activated protein kinase kinase kinase kinase 5 (Map4k5), mRNA",,,
13113,NM_201600.2,,,,"NM_201600.2 Mus musculus myosin VB (Myo5b), mRNA",,,
13114,NM_201609.2,,,,"NM_201609.2 Mus musculus zinc finger protein 652 (Zfp652), mRNA",,,
13115,NM_201637.3,,,,"NM_201637.3 Mus musculus chromodomain helicase DNA binding protein 8 (Chd8), mRNA",,,
13116,NM_201638.2,,,,"NM_201638.2 Mus musculus methyltransferase like 14 (Mettl14), mRNA",,,
13117,NM_201641.2,,,,"NM_201641.2 Mus musculus UDP glycosyltransferase 1 family, polypeptide A10 (Ugt1a10), mRNA",,,
13118,NM_201646.2,,,,"NM_201646.2 Mus musculus BTB (POZ) domain containing 6 (Btbd6), transcript variant 1, mRNA",,,
13119,NM_203319.1,,,,"NM_203319.1 Mus musculus DEAH (Asp-Glu-Ala-His) box polypeptide 37 (Dhx37), mRNA",,,
13120,NM_203396.1,,,,"NM_203396.1 Mus musculus TRPM8 channel-associated factor 3 (Tcaf3), mRNA",,,
13121,NM_203507.3,,,,"NM_203507.3 Mus musculus RWD domain containing 4A (Rwdd4a), mRNA",,,
13122,NM_205819.3,,,,"NM_205819.3 Mus musculus toll-like receptor 11 (Tlr11), mRNA",,,
13123,NM_205820.1,,,,"NM_205820.1 Mus musculus toll-like receptor 13 (Tlr13), mRNA",,,
13124,NM_205823.2,,,,"NM_205823.2 Mus musculus toll-like receptor 12 (Tlr12), mRNA",,,
13125,NM_205844.3,,,,"NM_205844.3 Mus musculus GDNF family receptor alpha like (Gfral), transcript variant 1, mRNA",,,
13126,NM_206973.2,,,,"NM_206973.2 Mus musculus G protein-coupled receptor 152 (Gpr152), mRNA",,,
13127,NM_207176.3,,,,"NM_207176.3 Mus musculus testis derived transcript (Tes), mRNA",,,
13128,NM_207202.2,,,,"NM_207202.2 Mus musculus coiled-coil domain containing 120 (Ccdc120), mRNA",,,
13129,NM_207203.2,,,,"NM_207203.2 Mus musculus proline rich 36 (Prr36), mRNA",,,
13130,NM_207204.2,,,,"NM_207204.2 Mus musculus ninein-like (Ninl), mRNA",,,
13131,NM_207208.3,,,,"NM_207208.3 Mus musculus chloride channel accessory 4A (Clca4a), mRNA",,,
13132,NM_207210.2,,,,"NM_207210.2 Mus musculus dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4 (Dyrk4), mRNA",,,
13133,NM_207213.2,,,,"NM_207213.2 Mus musculus sorting nexin 25 (Snx25), mRNA",,,
13134,NM_207214.3,,,,"NM_207214.3 Mus musculus exocyst complex component 5 (Exoc5), mRNA",,,
13135,NM_207215.2,,,,"NM_207215.2 Mus musculus MYC binding protein 2, E3 ubiquitin protein ligase (Mycbp2), mRNA",,,
13136,NM_207225.2,,,,"NM_207225.2 Mus musculus histone deacetylase 4 (Hdac4), mRNA",,,
13137,NM_207239.1,,,,"NM_207239.1 Mus musculus general transcription factor III C 1 (Gtf3c1), mRNA",,,
13138,NM_207242.2,,,,"NM_207242.2 Mus musculus NPC1 like intracellular cholesterol transporter 1 (Npc1l1), mRNA",,,
13139,NM_207245.2,,,,"NM_207245.2 Mus musculus zinc finger protein 870 (Zfp870), mRNA",,,
13140,NM_207248.3,,,,"NM_207248.3 Mus musculus RIKEN cDNA 4930433I11 gene (4930433I11Rik), mRNA",,,
13141,NM_207260.2,,,,"NM_207260.2 Mus musculus ankyrin repeat domain 34C (Ankrd34c), mRNA",,,
13142,NM_207268.3,,,,"NM_207268.3 Mus musculus coiled-coil domain containing 87 (Ccdc87), mRNA",,,
13143,NM_207278.2,,,,"NM_207278.2 Mus musculus tigger transposable element derived 4 (Tigd4), mRNA",,,
13144,NM_207281.3,,,,"NM_207281.3 Mus musculus methyltransferase like 21E (Mettl21e), mRNA",,,
13145,NM_207298.2,,,,"NM_207298.2 Mus musculus cerebral endothelial cell adhesion molecule (Cercam), mRNA",,,
13146,NM_207301.3,,,,"NM_207301.3 Mus musculus tryptophan rich basic protein (Wrb), mRNA",,,
13147,NM_207525.3,,,,"NM_207525.3 Mus musculus optic atrophy 3 (Opa3), mRNA",,,
13148,NM_207533.2,,,,"NM_207533.2 Mus musculus developing brain homeobox 2 (Dbx2), mRNA",,,
13149,NM_207541.1,,,,"NM_207541.1 Mus musculus zinc finger protein 81 (Zfp81), mRNA",,,
13150,NM_207583.2,,,,"NM_207583.2 Mus musculus bone morphogenic protein/retinoic acid inducible neural-specific 2 (Brinp2), mRNA",,,
13151,NM_207636.2,,,,"NM_207636.2 Mus musculus fibronectin type III domain containing 3A (Fndc3a), mRNA",,,
13152,NM_207657.3,,,,"NM_207657.3 Mus musculus RIKEN cDNA 5031410I06 gene (5031410I06Rik), mRNA",,,
13153,NM_207659.3,,,,"NM_207659.3 Mus musculus hook microtubule tethering protein 3 (Hook3), mRNA",,,
13154,NM_207678.1,,,,"NM_207678.1 Mus musculus cyclin L2 (Ccnl2), mRNA",,,
13155,NM_207687.3,,,,"NM_207687.3 Mus musculus espin (Espn), transcript variant 1, mRNA",,,
13156,NM_207708.1,,,,"NM_207708.1 Mus musculus synaptogyrin 1 (Syngr1), transcript variant 1a, mRNA",,,
13157,NM_212445.2,,,,"NM_212445.2 Mus musculus protein O-glucosyltransferase 3 (Poglut3), mRNA",,,
13158,NM_212452.2,,,,"NM_212452.2 Mus musculus relaxin/insulin-like family peptide receptor 1 (Rxfp1), mRNA",,,
13159,NM_212485.3,,,,"NM_212485.3 Mus musculus keratin 73 (Krt73), mRNA",,,
13160,NM_212487.4,,,,"NM_212487.4 Mus musculus keratin 78 (Krt78), mRNA",,,
13161,NM_213614.2,,,,"NM_213614.2 Mus musculus septin 5 (Sept5), mRNA",,,
13162,NM_213727.2,,,,"NM_213727.2 Mus musculus APC membrane recruitment 3 (Amer3), mRNA",,,
13163,NM_213728.2,,,,"NM_213728.2 Mus musculus keratin 72 (Krt72), mRNA",,,
13164,NM_213730.3,,,,"NM_213730.3 Mus musculus keratin 39 (Krt39), mRNA",,,
13165,NM_213733.2,,,,"NM_213733.2 Mus musculus aminopeptidase-like 1 (Npepl1), mRNA",,,
13166,NR_001461.5,,,,"NR_001461.5 Mus musculus KCNQ1 overlapping transcript 1 (Kcnq1ot1), long non-coding RNA",,,
13167,NR_001463.3,,,,"NR_001463.3 Mus musculus inactive X specific transcripts (Xist), transcript variant 1, long non-coding RNA",,,
13168,NR_002321.2,,,,"NR_002321.2 Mus musculus taurine upregulated gene 1 (Tug1), transcript variant a, long non-coding RNA",,,
13169,NR_002452.2,,,,"NR_002452.2 Mus musculus non-coding transcript 1 (Nctc1), long non-coding RNA",,,
13170,NR_002688.1,,,,"NR_002688.1 Mus musculus predicted gene 13363 (Gm13363), non-coding RNA",,,
13171,NR_002844.2,,,,"NR_002844.2 Mus musculus X (inactive)-specific transcript, opposite strand (Tsix), antisense RNA",,,
13172,NR_002846.2,,,,"NR_002846.2 Mus musculus GNAS antisense RNA 1 (Gnasas1), antisense RNA",,,
13173,NR_002847.3,,,,"NR_002847.3 Mus musculus metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA) (Malat1), long non-coding RNA",,,
13174,NR_002849.1,,,,"NR_002849.1 Mus musculus RIKEN cDNA 8430431K14 gene (8430431K14Rik), long non-coding RNA",,,
13175,NR_002854.2,,,,"NR_002854.2 Mus musculus distal-less homeobox 1, antisense (Dlx1as), antisense RNA",,,
13176,NR_002855.3,,,,"NR_002855.3 Mus musculus insulin-like growth factor 2, opposite strand (Igf2os), long non-coding RNA",,,
13177,NR_002862.3,,,,"NR_002862.3 Mus musculus predicted gene 5088 (Gm5088), non-coding RNA",,,
13178,NR_002863.2,,,,"NR_002863.2 Mus musculus Emx2 opposite strand/antisense transcript (non-protein coding) (Emx2os), antisense RNA",,,
13179,NR_002864.2,,,,"NR_002864.2 Mus musculus paternally expressed 13 (Peg13), long non-coding RNA",,,
13180,NR_002870.2,,,,"NR_002870.2 Mus musculus dynamin 3, opposite strand (Dnm3os), long non-coding RNA",,,
13181,NR_003188.1,,,,"NR_003188.1 Mus musculus Kaplan integration site 2 (Kis2), long non-coding RNA",,,
13182,NR_003248.3,,,,"NR_003248.3 Mus musculus forkhead box L2, opposite strand (Foxl2os), long non-coding RNA",,,
13183,NR_003279.1,,,,"NR_003279.1 Mus musculus 28S ribosomal RNA (Rn28s1), ribosomal RNA",,,
13184,NR_003283.1,,,,"NR_003283.1 Mus musculus RAB11 family interacting protein 4 (class II), opposite strand 1 (Rab11fip4os1), long non-coding RNA",,,
13185,NR_003293.3,,,,"NR_003293.3 Mus musculus RIKEN cDNA D030028A08 gene (D030028A08Rik), long non-coding RNA",,,
13186,NR_003363.2,,,,"NR_003363.2 Mus musculus predicted gene 6548 (Gm6548), non-coding RNA",,,
13187,NR_003364.1,,,,"NR_003364.1 Mus musculus cDNA sequence BC018473 (BC018473), long non-coding RNA",,,
13188,NR_003368.2,,,,"NR_003368.2 Mus musculus Pvt1 oncogene (Pvt1), transcript variant 1, long non-coding RNA",,,
13189,NR_003508.1,,,,"NR_003508.1 Mus musculus MX dynamin-like GTPase 2 (Mx2), transcript variant 2, non-coding RNA",,,
13190,NR_003513.3,,,,"NR_003513.3 Mus musculus nuclear paraspeckle assembly transcript 1 (non-protein coding) (Neat1), transcript variant MENepsilon, long non-coding RNA",,,
13191,NR_003517.2,,,,"NR_003517.2 Mus musculus phosphatidylserine decarboxylase, pseudogene 1 (Pisd-ps1), non-coding RNA",,,
13192,NR_003520.1,,,,"NR_003520.1 Mus musculus MX dynamin-like GTPase 1 (Mx1), transcript variant 2, non-coding RNA",,,
13193,NR_003568.1,,,,"NR_003568.1 Mus musculus G protein-coupled receptor 137B, pseudogene (Gpr137b-ps), non-coding RNA",,,
13194,NR_003617.1,,,,"NR_003617.1 Mus musculus RIKEN cDNA 1700018B24 gene (1700018B24Rik), non-coding RNA",,,
13195,NR_003619.2,,,,"NR_003619.2 Mus musculus RIKEN cDNA 6330549D23 gene (6330549D23Rik), non-coding RNA",,,
13196,NR_003623.1,,,,"NR_003623.1 Mus musculus predicted pseudogene 5069 (Gm5069), non-coding RNA",,,
13197,NR_003625.1,,,,"NR_003625.1 Mus musculus RIKEN cDNA 1700073E17 gene (1700073E17Rik), non-coding RNA",,,
13198,NR_003633.3,,,,"NR_003633.3 Mus musculus maternally expressed 3 (Meg3), transcript variant 1, long non-coding RNA",,,
13199,NR_003652.2,,,,"NR_003652.2 Mus musculus predicted gene 7337 (Gm7337), non-coding RNA",,,
13200,NR_003718.2,,,,"NR_003718.2 Mus musculus myocardial infarction associated transcript (non-protein coding) (Miat), transcript variant 2, long non-coding RNA",,,
13201,NR_003960.1,,,,"NR_003960.1 Mus musculus predicted pseudogene 5478 (Gm5478), non-coding RNA",,,
13202,NR_003967.2,,,,"NR_003967.2 Mus musculus predicted gene 4759 (Gm4759), non-coding RNA",,,
13203,NR_004051.1,,,,"NR_004051.1 Mus musculus butyrophilin-like 5, pseudogene (Btnl5-ps), non-coding RNA",,,
13204,NR_004433.3,,,,"NR_004433.3 Mus musculus predicted gene 8234 (Gm8234), non-coding RNA",,,
13205,NR_004444.2,,,,"NR_004444.2 Mus musculus zinc finger homeobox 2, opposite strand (Zfhx2os), antisense RNA",,,
13206,NR_004843.2,,,,"NR_004843.2 Mus musculus predicted readthrough transcript (NMD candidate), 44502 (Gm44502), long non-coding RNA",,,
13207,NR_015349.3,,,,"NR_015349.3 Mus musculus ethanol decreased 2 (Etohd2), long non-coding RNA",,,
13208,NR_015385.2,,,,"NR_015385.2 Mus musculus SIX homeobox 3, opposite strand 1 (Six3os1), transcript variant 4, long non-coding RNA",,,
